title,dataset,abstract,abstract_source,authors,author_source,doi,doi_source,journal,journal_source,keywords
"""The relation between research priorities and societal demands: The case of rice""","""dataset-428""","""To what extent is scientific research related to societal needs? To answer this crucial question systematically we need to contrast indicators of research priorities with indicators of societal needs. We focus on rice research and technology between 1983 and 2012. We combine quantitative methods that allow investigation of the relation between \u2018revealed\u2019 research priorities and \u2018revealed\u2019 societal demands, measured respectively by research output (publications) and national accounts of rice use and farmers\u2019 and consumers\u2019 rice-related needs. We employ new bibliometric data, methods and indicators to identify countries\u2019 main rice research topics (priorities) from publications. For a panel of countries, we estimate the relation between revealed research priorities and revealed demands. We find that, across countries and time, societal demands explain a country's research trajectory to a limited extent. Some research priorities are nicely aligned to societal demands, confirming that science is partly related to societal needs. However, we find a relevant number of misalignments between the focus of rice research and revealed demands, crucially related to human consumption and nutrition. We discuss some implications for research policy.""",,"Tommaso Ciarli, Ismael Ruefols",,10.1016/j.respol.2018.10.027,,Research Policy,,
"""The impact of money on science: Evidence from unexpected NCAA footballA outcomes""","""dataset-428""","""Universities perform a rising share of R&D in developed countries and increasingly rely on internal rather than government or private sector sources to fund these activities. This paper uses unexpected college football outcomes to exogenously vary school-funded research support expenditures. It then examines how these expenditures affect scientific productivity at US universities and whether the pool of knowledge created by academic research generates valuable innovation at the margin. We find large effects on publishing and patenting that sharply exceed estimates from prior work. Using data on technology licensing revenues, we find 4-5% upfront returns and 9% total returns on investment. JEL: O31, O32, D24, I23. \u2217We are grateful for early input from Juan Alcacer, Thomas Covert, James Lee, Josh Lerner, Charlie Nathanson, Ariel Pakes, Kyle Welch, and Erick Zwick as well as comments by Alberto Galasso, Meg Blume-Kohout, Ben Jones, Megan MacGarvie, Scott Stern, Chad Syverson, and participants at the NBER Summer Institute on Innovation, Cirano Conference on Industrial Organization, Chicago Booth Microeconomics Workshop, and Chicago Harris Public Policy and Economics Workshop. For helpful discussions on the research, funding, and publishing process in science and engineering fields, we thank Sharon Allen, Patrick Fitzgerald, Susan Gomes, Mick Sawka, and Beth Thomson at Harvard University, Park Hays at Sandia National Laboratories, Marty Holmes at the Texas A&M Association of Former Students, Roxanne Moore at Georgia Tech, Carolyn Porter at the McDonald Observatory at the University of Texas at Austin, Frank Rotondo at the Institute for Defense Analyses, and Mario Trujillo at the University of Wisconsin-Madison. \u2020Address: Harvard Business School, Soldiers Field Road, Boston, MA 02163, htabakovic@hbs.edu \u2021Corresponding author address: The University of Chicago Booth School of Business, 5807 South Woodlawn Avenue, Chicago IL 60637, thomas.wollmann@chicagobooth.edu""",,"Haris Tabakovic, Thomas Wollmann",,10.1016/j.jpubeco.2019.104066,,Journal of Public Economics,,"Money, Estimated, Ordinary least squares, Interaction, Plausibility structure, Relevance, Universities"
"""The hunt for the lesser-known funding source""","""dataset-428""","""Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.""",,Elie Dolgin,,10.1038/d41586-019-01734-1,,Nature,,"Government, funding grant, Foundations"
"""UniversitiesaTM structural commitment to interdisciplinary research""","""dataset-428""","""In recent years, science policy experts have been promoting interdisciplinary research (IDR) in order to foster innovation and address grand scientific challenges. But to date we know little about whether, how, and to what extent universities are committed to fostering this type of research. This paper develops the first measure of university commitment to IDR, which relies on the organizational structuring of research activity into research centers and departments. We extend the previous literature by measuring, rather than assuming, the interdisciplinary nature of research units. Using a large amount of textual data from 157 research universities in the United States, and combining machine learning and confirmatory factor analysis techniques, we develop a continuous and composite measure that taps universities\u2019 structural commitment to IDR. We then examine the commitment exhibited by specific universities and how such commitment varies by university characteristics like size, resources, and region. Results show that the fraction of centers and departments that are interdisciplinary is critical to measuring a university\u2019s structural commitment to IDR and to developing specific research policies aimed at fostering IDR.""",,"Erin Leahey, Sondra N. Barringer, Misty Ring-Ramirez",,10.1007/s11192-018-2992-3,,Scientometrics,,"Machine learning, Independence Day: Resurgence, Confirmatory factor analysis, Text corpus"
"""Public Anthropology in Changing Times""","""dataset-428""","""Public anthropology is a collective aspiration shaped by generally shared values and intentions within significant sections of social and cultural anthropology. The impetus behind the creation of the journal Public Anthropologist originates in this realm of ongoing discussions and actions inspired by the idea of pushing engagement and participation beyond academic borders. Given that the traditional triadic structure’s assessment standards and their financial and political backers are being reshaped by broader social forces beyond the academy and that the audit culture of accountability, that is replacing earlier standards, has significant problems, we need ask: Where do we go from here? In these changing times, how can anthropologists be more relevant to the broader society in the hope of escaping the worse aspects of the audit culture? We need raise our public profile, we need make clear to the larger society anthropology’s value in addressing the problems that concern them.""",,"Robert Borofsky, Antonio de Lauri",,10.1163/25891715-00201002,,Public Anthropologist,,
"""Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities""","""dataset-428""","""The future of the American academic research enterprise is considered. Data are presented that characterize the resources available for the 160 best-resourced research universities, a small subset of the 2,285 4-year, nonprofit, higher education institutions. A computational model of research universities was extended and used to simulate three strategic scenarios: status quo, steady decline in foreign graduate student enrollments, and downward tuition pressures from high-quality, online professional master's programs. Four specific universities are modeled: large public and private, and small public and private. The former are at the top of the 160 in terms of resources, while the latter are at the bottom of the 160. The model's projections suggest how universities might address these competitive forces. In some situations, it would be in the economic interests of these universities to restrict research activities to avoid the inherent subsidies these activities require. The computational projections portend the need for fundamental change of approaches to business for universities without large institutional resources.""",,"Willian Bill Rouse, John V. Lombardi, Diane D. Craig",,10.1073/pnas.1807174115,,Proceedings of the National Academy of Sciences,,"Universities, Probability, Projections and Predictions, Status Epilepticus, Subgroup"
"""A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list""","""dataset-428""","""Abstract This study investigates the convergence of two bibliometric approaches to the measurement of interdisciplinary research: one based on analyzing disciplinary diversity in the reference list of publications, the other based on the disciplinary diversity of authors of publications. In particular we measure the variety, balance, disparity and integrated diversity index of, respectively, single-author, multi-author single-field, and multi-author multi-field publications. We find that, in general, the diversity of the reference list grows with the number of fields reflected in a paper\u2019s authors\u2019 list and, to a lesser extent, with the number of authors being equal the number of fields. Further, we find that when fields belonging to different disciplines are reflected in the authors\u2019 list, the disparity in the reference list is higher than in the case of fields belonging to the same discipline. However, this general tendency varies across disciplines, and noticeable exceptions are found at individual paper level.""",,"Giovanni Abramo, Ciriaco Andrea D'Angelo, Lin Zhang",,10.1016/j.joi.2018.09.001,,Journal of Informetrics,,"Bibliographic index, Binocular disparity, Bibliometrics, Mike Lesser, "
"""First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers""","""dataset-428""","""ABSTRACTAlthough first-generation students represent a substantial proportion of doctoral students, few studies have examined their experiences and outcomes. We contribute to this nascent area of inquiry by comparing experiences and outcomes of first-generation and continuing-generation students during the first 3 years of doctoral education. Contrary to expectations, the results based on a national sample of PhD students in biology revealed remarkable similarity in experiences and outcomes between first-generation and continuing-generation students. One notable exception to this overall pattern of similarity was research productivity in the second year. By examining the relationships between students\u2019 experiences and outcomes over time, the findings illuminate the unique ways in which socialization experiences are related to specific outcomes and the extent to which those relationships change across years. Thus, this study offers initial insights into the nuanced ways in which students\u2019 socialization exp...""",,"Josipa Roksa, David F. Feldon, Michelle A. Maher",,10.1080/00221546.2018.1435134,,The Journal of Higher Education,,
"""Doctoral student funding portfolios across and within engineering, life sciences and physical sciences""","""dataset-428""","""Purpose \n \n \n \n \nThis paper aims to determine the extent to which graduate student funding portfolios vary across and within engineering, life sciences and physical sciences academic fields for degree recipients. \u201cGraduate student funding portfolios\u201d refers to the percentages of students funded by fellowships, research assistantships, teaching assistantships, personal means and other sources within an organizational unit. \n \n \n \n \nDesign/methodology/approach \n \n \n \n \nUsing data from the Survey of Earned Doctorates data set, the authors analyze doctoral students\u2019 self-reported primary mechanisms of funding across and within academic fields varying along the Biglan taxonomy. The authors used cluster analyses and logistic regression to investigate within-field variation in funding portfolios. \n \n \n \n \nFindings \n \n \n \n \nThe authors show significant differences in doctoral student funding portfolios across dimensions of the Biglan taxonomy characterizing academic fields. Within those fields, the authors demonstrate considerable variation in funding; institutions cluster into different \u201cmodes\u201d of funding portfolios that do not necessarily map onto institutional type or control variables. \n \n \n \n \nOriginality/value \n \n \n \n \nDespite tremendous investment in graduate students, there has been little research that can help characterize at the program-level how graduate students are funded, either by internal or external mechanisms. As programs continue to feel the pressures of more limited resources coupled with increasing graduate enrollment demands, investigating graduate student funding at a macro level is becoming increasingly important so programs may better understand constraints and predict shifts in resource availability.""",,"David B. Knight, Timothy Kinoshita, Nathan Hyungsok Choe, Maura Borrego",,10.1108/sgpe-d-17-00044,,Studies in Graduate and Postdoctoral Education,,
"""Research: Sci-Hub provides access to nearly all scholarly literature""","""dataset-428""","""The website Sci-Hub enables users to download PDF versions of scholarly articles, including many articles that are paywalled at their journal’s site. Sci-Hub has grown rapidly since its creation in 2011, but the extent of its coverage has been unclear. Here we report that, as of March 2017, Sci-Hub’s database contains 68.9% of the 81.6 million scholarly articles registered with Crossref and 85.1% of articles published in toll access journals. We find that coverage varies by discipline and publisher, and that Sci-Hub preferentially covers popular, paywalled content. For toll access articles, we find that Sci-Hub provides greater coverage than the University of Pennsylvania, a major research university in the United States. Green open access to toll access articles via licit services, on the other hand, remains quite limited. Our interactive browser at https://greenelab.github.io/scihub allows users to explore these findings in more detail. For the first time, nearly all scholarly literature is available gratis to anyone with an Internet connection, suggesting the toll access business model may become unsustainable.""",,"Daniel S. Himmelstein, Ariel Rodriguez-Romero, Jacob G. Levernier, Thomas Anthony Munro, Stephen Reid McLaughlin, Bastian Greshake Tzovaras, Casey S. Greene",,10.7554/elife.32822,,eLife,,
"""Classifying Institutions to Guide Mission-Relevant Performance Assessment""","""dataset-428""","""The shift from a post-industrial to a knowledge economy has placed higher education at the center of attention among policy makers and the public at large. The increase in attention, along with the increasing diversity in the funding sources of higher education institutions (HEIs) has prompted calls for greater accountability. Efforts to assess the effectiveness of HEIs include a variety of accountability frameworks and review processes. These efforts produce competing pressures for both institutional differentiation and convergence: differentiation to efficiently accommodate broader participation and meet a wide array of societal needs; and convergence to compete for international prestige and recognition as demarcated by research university rankings. This paper examines the extent to which distinguishing between types of HEIs via taxonomies or classification systems has expanded or can contribute to expanding the basis upon which HEI performance is evaluated in order to meet the full range of societal expectations for higher education in the 21st Century.""",,Victor M. H. Borden,,10.1163/22125868-12340100,,International Journal of Chinese Education,,
"""Examining the Carnegie Classification Methodology for Research Universities""","""dataset-428""","""University ranking is a popular yet controversial endeavor. Most rankings are based on both public data, such as student test scores and retention rates, and proprietary data, such as school reputation as perceived by high school counselors and academic peers. The weights applied to these characteristics to compute the rankings are often determined in a subjective fashion. Of significant importance in the academic field, the Carnegie Classification was developed by the Carnegie Foundation for the Advancement of Teaching. It has been updated approximately every 5 years since 1973, most recently in February 2016. Based on bivariate scores, Carnegie assigns one of three classes (R1/R2/R3) to doctorate-granting universities according to their level of research activity. The Carnegie methodology uses only publicly available data and determines weights via principal component analysis. In this article, we review Carnegie’s stated goals and the extent to which their methodology achieves those goals. In particular, we examine Carnegie’s separation of aggregate and per capita (per tenured/tenure-track faculty member) variables and its use of two separate principal component analyses on each; the resulting bivariate scores are very highly correlated. We propose and evaluate two alternatives and provide a graphical tool for evaluating and comparing the three scenarios.""",,"Robert Kosar, David W. Scott",,10.1080/2330443x.2018.1442271,,Statistics and Public Policy,,
"""Radiology Research Funding Current State and Future Opportunities""","""dataset-428""","""Funding for research has become increasingly difficult to obtain in an environment of decreasing clinical revenue, increasing research costs, and growing competition for federal and nonfederal funding sources. This paper identifies critical requirements to build and sustain a successful radiology research program (eg, key personnel and leadership, research training and mentorship, infrastructure, institutional and departmental funding or support), reviews the current state of available funding for radiology (including federal, nonfederal, philanthropy, crowdfunding, and industry), and describes promising opportunities for future funding (eg, health services, comparative effectiveness, and patient-centered outcomes research). The funding climate, especially at the federal level, changes periodically, so it is important to have radiology-specific organizations such as the American College of Radiology and the Academy of Radiology Research serving as our key advocates. Key to obtaining any funding, no matter what the source, is a well-formulated grant proposal, so a review of opportunities specifically available to radiologists to develop and hone their grant-writing skills is provided. Effective and sustained funding for radiology research has the potential to cultivate young researchers, bolster quality research, and enhance health care. Those interested in pursuing research need to be aware of the ever-changing funding landscape, research priority areas, and the resources available to them to succeed. To succeed, radiology researchers need to think about diversification and flexibility in their interests, developing multidisciplinary and multi-institutional projects, and engaging a broader base of stakeholders that includes patients.""",,"Alison L Chetlen, Andrew J. Degnan, Mark Guelfguat, Brent Griffith, Jason N. Itri, H Matta, Angela Pui-Ling Tong, Jonathan A. Flug, Dennis Toy, Nikita Consul, Eric A. Walker, Lucy B Spalluto, Andrew D. Smith, Elizabeth A. Krupinski",,10.1016/j.acra.2017.07.013,,Academic Radiology,,"Advocate (person), Numerous, Review [Publication Type], Health Care, Health Services, Request for Proposals, Patients,  Outcomes Research"
"""Doctoral student experiences in biological sciences laboratory rotations""","""dataset-428""","""Purpose \n \n \n \n \nThe purpose of this study is to explore the experience of selecting and engaging in biological sciences laboratory rotations from the perspective of doctoral students. \n \n \n \n \nDesign/methodology/approach \n \n \n \n \nWithin the socialization framework, this study uses a qualitative approach whereby 42 biological sciences students enrolled at highly selective US universities were interviewed in the first and second year of doctoral training about laboratory rotation experiences. \n \n \n \n \nFindings \n \n \n \n \nThe study revealed how doctoral students used formal and informal information networks, explored research topics, struggled with funding concerns and learned about the social aspect of the laboratories in which they rotated. \n \n \n \n \nOriginality/value \n \n \n \n \nWhile rotations are considered a signature pedagogy in the laboratory sciences, students\u2019 experiences within them are understudied. This study offers new knowledge about what doctoral students experience while rotating that can be used to inform and improve rotation processes for both students and universities.""",,"Michelle A. Maher, Annie M. Wofford, Josipa Roksa, David F. Feldon",,10.1108/sgpe-02-2019-050,,Studies in Graduate and Postdoctoral Education,,
"""The Scientific Research Output of U.S. Research Universities, 1980-2010: Continuing Dispersion, Increasing Concentration, or Stable Inequality?""","""dataset-428""","""Extending and expanding Geiger and Feller\u2019s (1995) analysis of increasing dispersion in R&D expenditures during the 1980s, the paper analyzes publication and citation counts as well as R&D expenditures for 194 top producers using Web of Science data. We find high and stable levels of inequality in the 1990s and 2000s, combined with robust growth both in the system and on individual campuses, considerable opportunities for short-range mobility and very limited opportunities for long-range mobility. Initial investments in research, private control, and the capacity of wealthy institutions to attract productive faculty are associated with high levels of scientific output. New entrants to the system and those that leave the system are both clustered near the bottom of the hierarchy.""",,"Steven Brint, Cynthia E. Carr",,10.1007/s11024-017-9330-4,,Minerva,,
"""Militarized Universities Endanger Global Public Health""","""dataset-428""","""Thiis piece examines the ways in which universities are becoming increasingly militarized in the 21st century.""",,Mozhgan Savabieasfahani,,10.25148/crcp.2.1.16092108,,"Class, Race and Corporate Power",,
"""Infrastructure investments and entrepreneurial dynamism in the U.S.""","""dataset-428""","""Abstract Investments in physical infrastructure induce environmental changes that serve both an enabling and disabling function, potentially acting to simultaneously stimulate new business establishment and provoke exit by some incumbent establishments. The opening of a new establishment results in the creation of jobs that did not previously exist. Similarly, the closing of an establishment results in the permanent loss of jobs. I develop a theoretical model that depicts this external enabler/disabler process and test the model's predictions empirically tested using annual state-level data spanning the period 1993\u20132015. The results from dynamic panel system GMM estimation suggest that public and private infrastructure investments exert opposite effects on dynamism. Whereas private infrastructure investment is positively and significantly associated with the creation of businesses and jobs, public infrastructure investments are associated with the destruction of businesses and jobs. These results point to private infrastructure investment serving primarily an entrepreneurial enabler role and public infrastructure investment an entrepreneurial disabler role.""",,Daniel L. Bennett,,10.1016/j.jbusvent.2018.10.005,,Journal of Business Venturing,,
"""Research into higher education: an a?theoretical community of practice?""","""dataset-428""","""A database of 406 articles published in 2000 in 17 specialist higher education journals, based outside North America, is analysed in terms of whether a theoretical perspective is adopted. In the majority of cases, any theoretical perspective is only implicit, and broader engagement with theory is absent. Where theory is explicit, the authors appear more likely to be based in a social science department or academic development unit, rather than an education department or higher education research centre. The implications of this analysis for the development of higher education research as an interdisciplinary field of study are explored.""",,Malcolm Peter Tight,,10.1080/0729436042000276431,,Higher Education Research & Development,,
"""United States of America""","""dataset-428""","""As we stand poised to enter the next millennium there is perhaps no better opportunity to reflect on the beliefs, values and techniques that are shared and debated by qualitative researchers throughout the United States. This paper explores some of the challenges facing those who pursue qualitative inquiry in the course of completing a graduate research degree: how we learn about research methodology and how we think about, use, and support the use of computer software research tools. The paper explores some of the assumptions inherent in the language of inquiry and discusses critical issues that qualitative researchers struggle with and continue to debate.""",,Bobbi A. Kerlin,,10.1163/22116028-03801037,,International Labour Law Reports Online,,
"""Approaching change in a challenging environment: Applying implementation science to academic administration.""","""dataset-428""","""This “Live from the Firing Line” essay describes the author’s experience incorporating implementation science into a leadership position to make significant change in the organization. From her experience in a senior executive position in academic administration, she describes the following: (a) the context of the university and position, (b) the nature and application of implementation science, (c) her approach to deliberately apply implementation science theory to the change process, and (d) outcomes and conclusions from this experience. (PsycINFO Database Record (c) 2019 APA, all rights reserved)""",,Jennifer P. Wisdom,,10.1037/mgr0000089,,The Psychologist-Manager Journal,,
