title,dataset,abstract,authors,doi,journal,keywords,
Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,dataset-371,"The research described here comprised a pilot study that attempted to identify the factors in decisions of highly capable students from underrepresented minority groups to forego study for science or engineering doctorates. Underrepresented students are defined as Blacks, Hispanics, and Indians. While these groups will soon comprise 30% or more of the population, they receive only 5% of the S & E (Science and Engineering) doctorates. The research was completed under NSF (National Science Foundation) grant no. REC 9908861. The research built on a previous NSF study (RED-9355867) that identified the most effective colleges and universities in the country in the preparation of Black, Hispanic, and Indian science and engineering students for study toward the PhD degree. One of the major concerns raised during the site visits to the top 10 institutions serving these groups was the loss of capable students to other careers. The study obtained information from minority graduates about factors impacting persistence to graduate studies in science and engineering and solicited suggestions for attracting more people like themselves to S & E doctoral study. Twelve underrepresented minority S & E graduates who decided to forego doctoral study in favor of other pursuits. Themes emerging from these conversations regarding reluctance to pursue advanced study included the following: concern for ability to finance such study; weaknesses in advisement practices and systems; lack of full knowledge, early on, about the rewards of doctoral employment; and concern about opportunities for employment after graduation. Suggestions proffered for attracting more underrepresented minorities to S & E doctoral study included the following: early socialization of youngsters into the world of science and its practice; expanded funding for scholarships and fellowships; expanded outreach by colleges and universities; expanded efforts by churches and community groups and deeper commitments by colleges and universities.","Marian?E.?Brazziel, William?F.?Brazziel",10.1023/a:1016694701704,Journal of Science Education and Technology,"Minority Group, Educational Technology,?Community Group,?Site Visit,?Engineering Student",
"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",dataset-371,"The fields of science, technology, engineering, and mathematics (STEM) drive economies worldwide. In such knowledge-based economies, no nation can afford to use its human resources inefficiently and ineffectively. Faculties exert a great deal of influence on the science and engineering (S&E) enterprise insofar as they conduct cutting-edge research as well as educate and train the S&E labor forces. This article focuses on the dynamics of the intersections of race/ethnicity and gender on diversifying S&E faculties in colleges and universities in the United States, and the criticality of disaggregating data to better understand these dynamics. Failure to disaggregate race/ethnicity data by gender, and gender data by race/ethnicity, masks important distinctions among groups. Failure to systematically take into account these distinctions results in policy, programs, practices, and institutions that are both inefficient and ineffective in developing and enhancing the S&E labor forces."",",Cheryl B. Leggon,10.1177/0002764209356236,American Behavioral Scientist,"Universities, Criticality matrix, Masks, physical hard work, college",
Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,dataset-371,"The Chronicle of Higher Education recently reported that the number of doctoral degrees awarded in the U.S. rose 3.4 percent in 2004, largely because of an increase in foreign students [Smallwood (2005). Doctoral degrees rose 3.4% in 2004, survey finds. The Chronicle of Higher Education, December 9, 2005]. Currently, 20.9 percent [National Science Board (2003). The science and engineering workforce realizing America\u2019s potential. NSB, vol. 3, National Science Foundation] of all science and engineering faculty positions at U.S. universities are held by foreign-born scientists (with even larger percentages in computer science and engineering)\u2014and we can expect higher numbers of foreign-born faculty at U.S. universities in the future. In this paper, we use 2001 Survey of Doctorate Recipients (SDR) data from the National Science Foundation to compare productivity levels, work satisfaction levels and career trajectories of foreign-born scientists and U.S.-born scientists. The results indicate that foreign-born academic scientists and engineers are more productive than their U.S.-born peers in all areas. Yet, average salaries and work satisfaction levels for foreign-born scientists are lower than for U.S.-born scientists."",","Elizabeth A. Corley, Meghna Sabharwal",10.1007/s11162-007-9055-6,Research in Higher Education,"Universities, Awards, ETSI Satellite Digital Radio, Large, Doctorate Degree",
Why the US science and engineering workforce is aging rapidly,dataset-371,"The science and engineering workforce has aged rapidly in recent years, both in absolute terms and relative to the workforce as a whole. This is a potential concern if the large number of older scientists crowds out younger scientists, making it difficult for them to establish independent careers. In addition, scientists are believed to be most creative earlier in their careers, so the aging of the workforce may slow the pace of scientific progress. We develop and simulate a demographic model, which shows that a substantial majority of recent aging is a result of the aging of the large baby boom cohort of scientists. However, changes in behavior have also played a significant role, in particular, a decline in the retirement rate of older scientists, induced in part by the elimination of mandatory retirement in universities in 1994. Furthermore, the age distribution of the scientific workforce is still adjusting. Current retirement rates and other determinants of employment in science imply a steady-state mean age 2.3 y higher than the 2008 level of 48.6.","David M. Blau, Bruce A. Weinberg",10.1073/pnas.1611748114,Proceedings of the National Academy of Sciences,"Aging, Demography, Universities, Excretory function, Mandatory - HL7DefinedRoseProperty",
Women in Academic Science: A Changing Landscape,dataset-371,"Much has been written in the past two decades about women in academic science careers, but this literature is contradictory. Many analyses have revealed a level playing field, with men and women faring equally, whereas other analyses have suggested numerous areas in which the playing field is not level. The only widely-agreed-upon conclusion is that women are underrepresented in college majors, graduate school programs, and the professoriate in those fields that are the most mathematically intensive, such as geoscience, engineering, economics, mathematics/computer science, and the physical sciences. In other scientific fields (psychology, life science, social science), women are found in much higher percentages. In this monograph, we undertake extensive life-course analyses comparing the trajectories of women and men in math-intensive fields with those of their counterparts in non-math-intensive fields in which women are close to parity with or even exceed the number of men. We begin by examining early-childhood differences in spatial processing and follow this through quantitative performance in middle childhood and adolescence, including high school coursework. We then focus on the transition of the sexes from high school to college major, then to graduate school, and, finally, to careers in academic science. The results of our myriad analyses reveal that early sex differences in spatial and mathematical reasoning need not stem from biological bases, that the gap between average female and male math ability is narrowing (suggesting strong environmental influences), and that sex differences in math ability at the right tail show variation over time and across nationalities, ethnicities, and other factors, indicating that the ratio of males to females at the right tail can and does change. We find that gender differences in attitudes toward and expectations about math careers and ability (controlling for actual ability) are evident by kindergarten and increase thereafter, leading to lower female propensities to major in math-intensive subjects in college but higher female propensities to major in non-math-intensive sciences, with overall science, technology, engineering, and mathematics (STEM) majors at 50% female for more than a decade. Post-college, although men with majors in math-intensive subjects have historically chosen and completed PhDs in these fields more often than women, the gap has recently narrowed by two thirds; among non-math-intensive STEM majors, women are more likely than men to go into health and other people-related occupations instead of pursuing PhDs. Importantly, of those who obtain doctorates in math-intensive fields, men and women entering the professoriate have equivalent access to tenure-track academic jobs in science, and they persist and are remunerated at comparable rates-with some caveats that we discuss. The transition from graduate programs to assistant professorships shows more pipeline leakage in the fields in which women are already very prevalent (psychology, life science, social science) than in the math-intensive fields in which they are underrepresented but in which the number of females holding assistant professorships is at least commensurate with (if not greater than) that of males. That is, invitations to interview for tenure-track positions in math-intensive fields-as well as actual employment offers-reveal that female PhD applicants fare at least as well as their male counterparts in math-intensive fields. Along these same lines, our analyses reveal that manuscript reviewing and grant funding are gender neutral: Male and female authors and principal investigators are equally likely to have their manuscripts accepted by journal editors and their grants funded, with only very occasional exceptions. There are no compelling sex differences in hours worked or average citations per publication, but there is an overall male advantage in productivity. We attempt to reconcile these results amid the disparate claims made regarding their causes, examining sex differences in citations, hours worked, and interests. We conclude by suggesting that although in the past, gender discrimination was an important cause of women's underrepresentation in scientific academic careers, this claim has continued to be invoked after it has ceased being a valid cause of women's underrepresentation in math-intensive fields. Consequently, current barriers to women's full participation in mathematically intensive academic science fields are rooted in pre-college factors and the subsequent likelihood of majoring in these fields, and future research should focus on these barriers rather than misdirecting attention toward historical barriers that no longer account for women's underrepresentation in academic science."",","Stephen J Ceci, Donna K Ginther, Shulamit Kahn, Wendy M. Williams",10.1177/1529100614541236,Psychological Science in the Public Interest,"Sex Characteristics, Social Sciences, Biological Science Disciplines, Productivity, Earth Sciences, Extravasation",
"Career goals, pathways and competencies of geography graduate students in the USA",dataset-371,"This study examines the motivations and career goals of geography graduate students and the extent they are prepared in transferable skills. Women and students specializing in geographic information science and technology are primarily motivated by career opportunities in the private sector, whereas doctoral students express a preference for academic career paths and their goals are more influenced by faculty and departmental prestige. Students in Master's programs and those specializing in physical geography are more likely to seek positions with government employers. Master's and doctoral programs are providing opportunities for students to develop competency in a wide-range of transferable skills. However, there are many organizational and business-oriented skills that employers value but which are not commonly taught in graduate curricula in geography programs."",","Michael Norman Solem, Aurelia Kollasch, Jenny J. Lee",10.1080/03098265.2012.729563,Journal of Geography in Higher Education,"Graduate Education,?Career Preparation,?Transferable Skills",
The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,dataset-371,"There has been a recent recognition of the need to prepare PhD-trained scientists for increasingly diverse careers in academia, industry, and health care. The PhD Data Task Force was formed to better understand the current state of PhD scientists in the clinical laboratory workforce and collect up-to-date information on the training and certification of these laboratorians. In this report, we summarize the findings of the PhD Data Task Force and discuss the relevance of the data collected to the future supply of and demand for PhD clinical laboratory scientists. It is clear that there are multiple career opportunities for PhD scientists in academic medical centers, commercial clinical laboratories, biotechnology and pharmaceutical companies, and the federal government. Certified PhD scientists have and will continue to form an important resource for our technologically advancing field, bringing training in scientific methods, and technologies needed for modern laboratory medicine. The data gathered by the PhD Data Task Force will be of great interest to current and future PhD candidates and graduate PhD scientists as they make decisions regarding future career directions."",","Robin G. Lorenz, Donald S. Karcher, Michael D. Gautreaux, Melvin Limson, Dani S. Zander",10.1177/2374289518775948,Academic Pathology,"Relevance, Laboratory, Academia (organization), Academic Medical Centers, Certification, Health Care",
The bachelor's to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,dataset-371,"For decades, research and public discourse about gender and science have often assumed that women are more likely than men to \""leak\"" from the science pipeline at multiple points after entering college. We used retrospective longitudinal methods to investigate how accurately this \""leaky pipeline\"" metaphor has described the bachelor's to Ph.D. transition in science, technology, engineering, and mathematics (STEM) fields in the U.S. since the 1970s. Among STEM bachelor's degree earners in the 1970s and 1980s, women were less likely than men to later earn a STEM Ph.D. However, this gender difference closed in the 1990s. Qualitatively similar trends were found across STEM disciplines. The leaky pipeline metaphor therefore partially explains historical gender differences in the U.S., but no longer describes current gender differences in the bachelor's to Ph.D. transition in STEM. The results help constrain theories about women's underrepresentation in STEM. Overall, these results point to the need to understand gender differences at the bachelor's level and below to understand women's representation in STEM at the Ph.D. level and above. Consistent with trends at the bachelor's level, women's representation at the Ph.D. level has been recently declining for the first time in over 40 years."",","David I. Miller, Jonathan M. Wai",10.3389/fpsyg.2015.00037,Frontiers in Psychology,"Sex Characteristics, Computer science, Physical Sciences",
"New linked data on research investments: Scientific workforce, productivity, and public value",dataset-371,"Longitudinal micro-data derived from transaction level information about wage and vendor payments made by federal grants on multiple U.S. campuses are being developed in a partnership involving researchers, university administrators, representatives of federal agencies, and others. This paper describes the UMETRICS data initiative that has been implemented under the auspices of the Committee on Institutional Cooperation. The resulting data set reflects an emerging conceptual framework for analyzing the process, products, and impact of research. It grows from and engages the work of a diverse and vibrant community. This paper situates the UMETRICS effort in the context of research evaluation and ongoing data infrastructure efforts in order to highlight its novel and valuable features. Refocusing data construction in this field around individuals, networks, and teams offers dramatic possibilities for data linkage, the evaluation of research investments, and the development of rigorous conceptual and empirical models. Two preliminary analyses of the scientific workforce and network approaches to characterizing scientific teams ground a discussion of future directions and a call for increased community engagement."",","Julia Lane, Jason Owen-Smith, Rebecca Rosen, Bruce Weinberg",10.1016/j.respol.2014.12.013,Research Policy,"funding grant, Investments, payment, teams",
A conceptual framework for studying science research careers,dataset-371,"The emergence of open science and new data practices is changing the way research is done. Opportunities to access data through purpose built platforms and repositories, combined with emerging data and meta-data curation practices are expanding data availability in many fields. This paper presents a conceptual framework for studying scientific research careers, motivated by opportunities to link empirical datasets to construct new analyses that address remaining and emerging knowledge gaps. The research career conceptual framework (RCCF) emerges from a review of relevant theories and empirical findings regarding research careers. The paper reviews existing models and develops a typology of research careers. It also compiles a list of variables drawn from the literature on research careers. Two preliminary demonstrations of linking datasets to address empirical questions are outlined. The final discussion advocates an approach to emerging data opportunities that combines theories and models with empirical research questions as being superior to an approach that produces ad hoc explanations on the basis of \u2018data fishing\u2019 exercises."",","Carolina Ca?ibano, Richard Woolley, Eric J. Iversen, Sybille Hinze, Stefan Hornbostel, Jakob Tesch",10.1007/s10961-018-9659-3,The Journal of Technology Transfer, - ,
Are foreign-born researchers more innovative? Self-selection and the production of knowledge among PhD recipients in the USA,dataset-371,"When analyzing knowledge production, the evidence suggests that within the USA, foreign-born researchers exhibit more productivity than their domestic counterparts. Previous literature indicates that productivity differences can be explained by higher academic ability and the selection of more research-oriented fields among foreign-born. In this study, we use individual data from the restricted-access version of the Survey of Doctoral Recipients between 1995 and 2003 to extend this notion and compare knowledge production, in terms of papers presented, articles published, patent applications, and patents granted, of foreign-born and domestic PhD recipients. Our results strongly support the notion that foreign-born researchers, and especially naturalized US citizens, outperform their domestic counterparts in all four of our measures of knowledge production. We show that while aspects associated with academic training, quality of the school, occupation mismatch, and fields of study, among others, play a role in productivity differentials, they only account for a small proportion of the variability. We develop a theoretical a model to show that non-directly observable aspects associated with non-academic ability of foreign-born and a better match between the student and the PhD program, associated with differing opportunity costs of attending the program, may explain the results. Different specifications and robustness checks are conducted to provide support to our theory."",","Rodrigo Perez-Silva, Mark D. Partridge, William E. Foster",10.1007/s10109-018-0281-6,Journal of Geographical Systems,"Observable, Spatial variability, ",
University and Department Influences on ScientistsaTM Occupational Outcomes,dataset-371,"Over 50,000 Ph.D. degrees in Science and Engineering (S&E) are awarded annually by United States (U.S.) universities, but few studies have systematically considered how the various aspects of doctoral training can influence the occupational outcomes of S&E doctoral graduates. This inquiry draws from the National Science Foundation＊s Scientists and Engineers Statistical Data System to investigate how the characteristics of U.S. degree-granting departments and institutions are associated with doctoral graduates＊ entrance into different career sectors (i.e., academia, industry, government). The conceptual framework is based on the Scientific and Technical Human Capital theory (Bozeman et al. in Int J Technol Manag 22(7每8):716每740,?2001) as well as Berger and Milem＊s (Higher Education: Handbook of Theory and Research, Agathon Press, New York,?2000) model of college impact. We find that a number of university and department factors are associated with the career choice of S&E doctoral graduates after finishing their Ph.D including: (a) structural characteristics, such as geographic location and faculty composition, (b) organizational behaviors, such as those symbolizing a program＊s relative emphasis on traditional academic work versus activities valued in industry, and (c) peer group characteristics such as a department＊s proportion of female and minority Ph.D. students. These results will be particularly informative for policy makers, faculty and administrators in S&E programs, and prospective doctoral students.","Jeongeun Kim, Molly Ott, Lindsey Dippold",10.1007/s11162-019-09584-6,Research in Higher Education,,"STEM Ph.D. students, Occupational outcomes, College impact, Scientific and Technical, Human Capital "
