title,dataset,abstract,authors,doi,journal,keywords,,,,
The changing career trajectories of new parents in STEM,dataset-370,"The gender imbalance in science, technology, engineering, and math (STEM) fields has remained constant for decades and increases the farther up the STEM career pipeline one looks. Why does the underrepresentation of women endure? This study investigated the role of parenthood as a mechanism of gender-differentiated attrition from STEM employment. Using a nationally representative 8-year longitudinal sample of US STEM professionals, we examined the career trajectories of new parents after the birth or adoption of their first child. We found substantial attrition of new mothers: 43% of women leave full-time STEM employment after their first child. New mothers are more likely than new fathers to leave STEM, to switch to part-time work, and to exit the labor force. These gender differences hold irrespective of variation by discipline, race, and other demographic factors. However, parenthood is not just a \mother's problem\; 23% of new fathers also leave STEM after their first child. Suggesting the difficulty of combining STEM work with caregiving responsibilities generally, new parents are more likely to leave full-time STEM jobs than otherwise similar childless peers and even new parents who remain employed full time are more likely than their childless peers to exit STEM for work elsewhere. These results have implications for policymakers and STEM workforce scholars; whereas parenthood is an important mechanism of women's attrition, both women and men leave at surprisingly high rates after having children. Given that most people become parents during their working lives, STEM fields must do more to retain professionals with children.","Erin A. Cech,Mary Blair-Loy",10.1073/pnas.1810862116,Proceedings of the National Academy of Sciences,The changing career trajectories of new parents in STEM,,,,
The Socialization of STEM Professionals Into STEM Careers: A Study of Newly Hired Engineers,dataset-370,"The Problem Recently there has been a growing interest to increase the number of people entering science, technology, engineering, and mathematics (STEM) careers. One of the major problems with this...","Russell Korte,Samantha Brunhaver,Sarah M. Zehr",10.1177/1523422318814550,Advances in Developing Human Resources,,,,,
National health innovation systems: Clustering the OECD countries by innovative output in healthcare using a multi indicator approach,dataset-370,"he importance of innovation in healthcare has increased within the last decades as challenges, like rising costs and an aging demographic, have to be solved. The degree of innovativeness in healthcare is strongly influenced by the National Health Innovation System, which as a sectoral innovation system encompasses a wide variety of actors and related knowledge. Despite the highly practical relevance of the topic, there are only a few studies that analyze innovation in healthcare on a national level. Thus, this study is a starting point and, building on the theoretical framework of national innovation systems, answers the following questions: \u201cCan countries be grouped by their innovation output in healthcare and do those groups differ in factors describing the healthcare system? Do countries with strong national innovation systems also have strong national health innovation systems and vice versa?\u201d We compare the healthcare innovation output of 30 OECD countries using a multi-indicator approach and categorize them into four distinct groups using cluster analysis. The cluster consisting of the Scandinavian countries, the Netherlands and Switzerland shows the highest innovation output measured in knowledge production and knowledge commercialization. Surprisingly, these countries, with the exception of Switzerland, only rank in the medium group when considering the entire national innovation system. Policymakers and researchers might be particularly interested in studying the healthcare systems of these countries.","Dorian Proksch,Julia Busch-Casler,Marcus Max Haberstroh,Andreas Pinkwart",10.1016/j.respol.2018.08.004,Research Policy,,,,,
Does employment during doctoral training reduce the PhD completion rate?,dataset-370,"This paper examines relations between doctoral students’ employment and graduation outcomes at a research-intensive university in Russia. Since most doctoral students lack financial support, they find employment and work full-time. This study addresses two questions: first, how the employment status is related to graduation outcomes (defending a thesis) and, second, how characteristics of student employment decrease the chances of defence of a thesis. The research is based on a longitudinal dataset of doctoral students that were enrolled in doctoral programmes between 2008 and 2017. The dataset combines survey data collected during the doctoral training and administrative data about the students’ graduation outcomes gathered in 2018. The results show that on-campus employment increases the chances to defend the thesis and off-campus employment is negatively associated with the completion. The findings may help define the groups of students that are at risk of attrition and should be provided with appropriate support.",Saule Bekova,10.1080/03075079.2019.1672648,Studies in Higher Education,,,,,
Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,dataset-370,"This paper investigates which attributes of a Carnegie PhD-level institution predict the share of its undergraduate BA recipients that will earn a PhD. Four broad PhD fields are studied: humanities, physical sciences, natural sciences, and social sciences. We use restricted-access, individual-level Survey of Earned Doctorates data to determine both where and when PhD recipients received their BA, and truncation-correction methodology to account for PhD receipt after the data end. Across fields, we find that PhD production is positively related to the number of highly-ranked PhD programs an institution has, suggesting such departments may play a dual role in both producing PhDs as well as encouraging undergraduates to earn PhDs themselves. We also find that PhD production is negatively related to the total number of students and the share of total BAs that are received in the field, and is positively related to student test scores.","Todd R. Jones,Ronald G. Ehrenberg",10.1080/09645292.2019.1623177,Education Economics,"Universities,Science,Protein Truncation Abnormality,Social Sciences,Software quality",,,,
"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",dataset-370,"This chapter provides a rationale for supporting American Indians and Alaska Natives in the Science, Technology, Engineering, and Math (STEM) fields particularly at the graduate level through Pacific Northwest Circle of Success: Mentoring Opportunities in STEM (PNW‐COSMOS) Alliance activities and offers direction for the development of programming for other groups underrepresented in STEM.",Sweeney Windchief,10.1002/he.20332,New Directions for Higher Education,,,,,
"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned",dataset-370,"This chapter describes the development and implementation of an Indigenous Mentoring Program (IMP) for faculty who mentor American Indian/Alaska Native graduate students in science, technology, engineering, and mathematics (STEM) fields. The chapter also reviews steps taken in adapting and translating the IMP to non‐Montana institutions that are part of the Pacific Northwest Circle of Success in Mentoring Opportunities in STEM Alliance.","Blakely Brown,Barbara Z. Komlos",10.1002/he.20337,New Directions for Higher Education,,,,,
Editors Notes,dataset-370,"Although there is literature that addresses successful academic practices for underrepresented minorities (Campbell & Campbell 2007; Davis, 2008; Kendricks, Nedunuri, & Arment, 2013), and mentoring specifically for American Indians and Alaska Natives (AI/ANs) (Guillory, 2009; Shotton, Oosahwe, & Cintrón, 2007), the specific goal of this project1 is to develop, progress, and evaluate a culturally congruent graduate education and a career preparation model that supports AI/ANs in Science, Technology, Engineering, and Mathematics (STEM) graduate programs. This goal is rooted in, and a response to, the fact that AI/ANs are not represented in STEM fields at parity with their non‐AI/AN counterparts.","Karlene A. Hoo,Sweeney Windchief",10.1002/he.20331,New Directions for Higher Education,,,,,
BPD Emerging Leaders 2010a\2016: Identifying and Responding to the Need for New Academic Leadership,dataset-370,"In 2010, the Association of Baccalaureate Social Work Program Directors (BPD) participated in the Social Work Congress in Washington, DC, along with other national social work organizations...","Valerie C. Bryan,Kathryn Krase,Alicia Nicole McLaughlin,Nancy Meyer-Adams",10.1080/10437797.2019.1656576,Journal of Social Work Education,,,,,
"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",dataset-370,"Inclusion and diversity are highly visible priorities at many colleges and universities. Efforts to diversify the professoriate have necessitated a better understanding of career outcomes for current female faculty and faculty of color. We measure risk of leaving without tenure and years to promotion from associate to full professor at four large land grant universities. We model career outcomes as competing risks, and compute cumulative incidence functions to discern differences in tenure and promotion outcomes by gender and race. We find incidence rates vary significantly by academic discipline, and in many instances, show larger effects than gender and racial or ethnic differences. Our examination also indicates that in particular academic fields, females are more prone to leave without tenure, and less likely to be promoted to full professor. We also find that racial or ethnic minorities are less likely to be promoted to full professor in certain areas. The analysis suggests that for universities to address systemic issues of underrepresentation in academe, they must account for department level contexts, and align institutional practices to support the goal of inclusion and diversity.","Raifu Durodoye,Marcia L. Gumpertz,Alyson Wilson,Emily Griffith,Seher Ahmad",10.1007/s11162-019-09573-9,Research in Higher Education,,,,,
Fast Facts,dataset-370,"Faculty attitudes on online education, book sales figures, Colleges in the USA, Wikipedia and scientific accuracy, News sources: Twitter and Facebook - These are the topics summarized in this Fast Facts overview",Gary Pattillo,10.5860/crln.80.10.536,College & Research Libraries News,,,,,
"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations",dataset-370,"La double vie des campus americains, l'une relle et l'autre imaginaire, n'est nulle part plus evidente que dans l'experience des etudiants, et en particulier dans leur implication dans l'enseignement. L'internationalisation croissante de la population etudiante, ainsi que l'acces a l'enseignement superieur pour les etudiants de condition modeste comptent parmi les points les plus urgents qui affectent la veritable nature du campus. La difficulte pour les bibliotheques academiques consiste a demeurer pertinentes pour les etudiants dans leur confrontation avec des obstacles qui defient leur experience imaginaire de l'universite.",William C. Welburn,10.5860/crln.63.10.718,College & Research Libraries News,,,,,
An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement,dataset-370,"There has long been a concern about the lack of representation of ethnic minorities in the field of educational measurement. As previous research has shown that graduate programs primarily rely on their websites for recruiting efforts, the objective of this study was to conduct a content analysis of all U.S. educational measurement program websites to evaluate the availability of college choice information found to be useful for underrepresented ethnic minority applicants. In terms of program climate, results revealed that less than 10% of programs directly encouraged ethnic minorities to apply or included an antidiscrimination statement with regard to application review on their websites. Moreover, only a few program websites indicated the availability of flexible programming—previously found to be important for underrepresented ethnic minority students—such as part‐time options (16%), evening courses (10%), and online course/program availability (8%). Recommendations for how measurement programs can improve their websites to include desirable college choice information for underrepresented ethnic minority applicants are discussed.","Cathelijn J. F. Waaijer,Benoit Macaluso,Cassidy R. Sugimoto,Vincent Lariviere",10.1111/emip.12284,Educational Measurement: Issues and Practice,,,,,
"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology",dataset-370,"Sociology is a multiparadigmatic discipline, increasingly feminized, but in some of the discipline\u2019s subfields certain theoretical tools and methods dominate over others, and gender integration is stalled. Why so? I examine the intellectual trajectory of the new economic sociology to highlight the role of academic familism, disciplinary spillover prestige, and gender for privileging the networks perspective, over other intellectual currents, in the early developments of the subfield. First, academic familism in a form of cross generational mentor-mentee relationships reinforced networks-based research among early champions of the new economic sociology, such as Harrison White and Mark Granovetter and their students. Second, the network perspective thrived on spillover prestige from natural sciences, which also embraced the study of networks, as well as from economics. Third, alignment with methodological and gender hierarchies in the discipline of sociology privileged the quantitative male-led network analyses over other approaches, such as cultural or inequality analysis. Providing an interpretation of the history of economic sociology, this article also reveals the mechanisms that stall gender integration within sociological subfields despite broader trends in feminization of our discipline.",Nina Bandelj,10.1007/s12108-019-09421-4,The American Sociologist,,,,,
Doctoral Student Perfectionism and Emotional Well-Being,dataset-370,"This study examined the association between perfectionism and perceived stress, life satisfaction, positive emotions, and negative emotions among a national sample of 528 doctoral students. Latent profile analysis based on a measure of perfectionism supported a 3-class model (i.e., adaptive perfectionists, nonperfectionists, and maladaptive perfectionists). Adaptive perfectionists had the lowest levels of perceived stress and negative emotions and the highest levels of positive emotions and life satisfaction. Maladaptive perfectionists had the highest levels of perceived stress and negative emotions along with the lowest levels of negative emotions.","Randall M. Moate,Philip B. Gnilka,Erin M. West,Kenneth G. Rice",10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,,,,,
YOUNG STARS IN ECONOMICS: WHAT THEY DO AND WHERE THEY GO,dataset-370,"We construct a data set of job flyouts for junior economists between 2013 and 2018 to investigate three aspects of the market for  201 stars. First, what is the background of students who become stars? Second, what type of research does the top of the market demand? Third, where do these students take jobs? Among other results, we show that stars are more likely to be international and male than PhDs overall, that theoretical and semi-theoretical approaches remain dominant, that American programs both produce the most stars and hire even more, that almost none are hired by the private sector, and that there is a strong shift toward having pre-PhD full-time academic research jobs. (JEL A11, A12, A23, J24)",Kevin A. Bryan,10.1111/ecin.12762,Economic Inquiry,"Stars, Celestial,Centrality,Path dependence,Occupations,Next-generation network,Sticky bit,Semiconductor industry,GUCY2C protein, human,Ploidies",,,,
National Institute of Health (NIH) funding patterns in Schools of Nursing: Who is funding nursing science research and who is conducting research at Schools of Nursing?,dataset-370,"Abstract Background Developing the next generation of nurse researchers must be a priority to advance the discipline's science. A comprehensive description of the current federally-funded research is useful for understanding the research enterprise in Schools of Nursing. Purpose To describe the past 5 years of National Institute of Health (NIH) funding patterns in US Schools of Nursing. Method Data were extracted from NIH RePORTER for years 2014, 2013, 2018. The total number of award types (F, K, R, U, P and T) granted to a School of Nursing in the US was summarized and organized by Institute. Grants were then characterized according to whether the Principal Investigator had a nursing degree (yes or no). Finally, the total funding from each NIH Institute/Center that was awarded to a School of Nursing was assessed. Findings Nearly 50% of the National Institute of Nursing Research's (NINR) extramural budget is awarded through grants to Schools of Nursing in the US. NINR funds 80% of training grants and >70% of Center grants, which support the education and infrastructure for research, respectively, at Schools of Nursing. Among top ranked research-intensive Schools of Nursing, awards to non-nurse Principal Investigators (PIs) averaged 34.5% across all years. The percentage of NIH funds awarded to non-nurse PIs ranged from 0% at 3 Schools to as high as 97% at 1 School of Nursing. Over the past 5 fyears, the following Institutes have consistently been the largest funders (total dollars) to Schools of Nursing: NINR, National Institute of Aging, National Institute of Minority and Health Disparities, National Cancer Institute and National Institute of Child Health and Human Development. Conclusion These findings highlight the current funding streams for Schools of Nursing as well as opportunities for expansion. Preparing a cadre of nurse scientists who can generate new knowledge to advance our health care is critical to the success of our profession and to ensuring the health of the people for whom we provide care.",Rebecca Schnall,10.1016/j.profnurs.2019.07.003,Journal of Professional Nursing,"Awards,behavior,National Institute of Nursing Research (U.S.),Extramural Activities,Breast Feeding,funding grant,school,Principal Component Analysis,extraction",,,,
Federal funding of doctoral recipients: What can be learned from linked data,dataset-370,"This technical note describes the results of a pilot approach to link administrative and survey data to better describe the richness and complexity of the research enterprise. In particular, we demonstrate how multiple funding channels can be studied by bringing together two disparate datasets: UMETRICS, which is based on university payroll and financial records, and the Survey of Earned Doctorates (SED), which is one of the most important US survey datasets about the doctoral workforce. We show how it is possible to link data on research funding and the doctorally qualified workforce to describe how many individuals are supported in different disciplines and by different agencies. We outline the potential for more work as the UMETRICS data expands to incorporate more linkages and more access is provided.","Wan-Ying Chang,Wei Cheng,Julia Lane,Bruce A. Weinberg",10.1016/j.respol.2019.03.001,Research Policy,,,,,
Training the scientific workforce: Does funding mechanism matter?,dataset-370,"A National Institutes of Health (NIH) taskforce recently recommended decreasing the number of graduate students supported on research assistantships, and instead favoring traineeship and fellowship funding mechanisms. Using instrumental variables estimation with survey data collected from U.S. PhD-granting biomedical sciences departments and their newly-minted PhDs, we find that increases in these programs’ NIH-funded traineeships and fellowships do significantly increase programs’ total graduate enrollments, particularly of female students. However, PhDs who were funded primarily as research assistants are significantly more likely to take research-focused jobs in the U.S. scientific workforce after they graduate, as compared to PhDs who were primarily supported as trainees or fellows. The suggested policy changes thus may have unintended, negative consequences for scientific workforce participation.","Blume-Kohout Margaret E.,Adhikari Dadhi",10.1016/j.respol.2016.03.011,,,,,,
Defining diversity: A mixed-method analysis of terminology in faculty applications,dataset-370,"Abstract A desirable societal goal may not imply a common understanding of that goal. As organizations seek to foster inclusion through a focus on diversity, understanding the operational definition employed by stakeholders becomes important. This study focuses on how candidates applying for employment address their diversity-related qualifications when specifically asked to do so. A model-driven qualitative coding system is used to characterize the diversity-related terminology in the cover letters of 111 applicants to a post-doctoral faculty fellowship position at a research university open to all academic disciplines. Applicants describe their strengths related to developing diversity-related curriculum and scholarship, aiding the recruitment and retention of a broad range of students and faculty, and establishing community partnerships to advance diversity. The analysis of applicants\u2019 letters indicates that applicants refer to race, ethnicity, gender, and class dimensions of diversity most frequently, suggesting that operational definitions tend to be more limited to traditionally and legally established taxonomies of human difference.","Dana Lee Baker,Karen B. Schmaling,Kathleen Carlisle Fountain,Arthur W. Blume,Randy Boose,",10.1016/j.soscij.2015.01.004,The Social Science Journal,,,,,
What's Money Got to Do with It? An Examination of the Relationships between Sources of Financial Support and the Post-Graduation Career Plans of Latina and Latino Doctoral Students in the Social Sciences,dataset-370,"More Latina and Latino faculty members are needed to mentor Latina and Latino students, as well as diversify academic research, and improve campus racial climates and retention of minority faculty members. This paper focuses on the sources of financial support that can facilitate access to faculty careers. I use multinomial logistic estimation and predicted probabilities to examine relationships between various sources of financial support (e.g., assistantships) and Latina and Latino social scientists' post-graduation plans. Plots of predicted probabilities show that the relationships between sources of support and Latina and Latinos' post-graduation plans are similar among other racial and ethnic groups.",Frank Fernandez,10.1353/rhe.2019.0093,The Review of Higher Education,,,,,
The Trade-Offs of Teamwork Among STEM Doctoral Graduates,dataset-370,"Teamwork has increasingly become prevalent in professional fields such as academic science, perhaps partly because research shows that teams tend to produce superior work. Although research on teamwork has typically focused on its impact on work products, we complement that work by examining the degree to which teamwork influences salary, hours worked, and overall job satisfaction. Drawing on microdata collected through the National Science Foundation's Survey of Doctorate Recipients as well as the Survey of Earned Doctorates, we find that doctoral degree holders in science, technology, engineering, and mathematics (STEM) fields tend to earn substantially higher salaries and work more hours when they engage in teamwork. We also find no comparable difference in overall job satisfaction as a function of whether individuals work within teams. Additionally, we find evidence that age interacts significantly with teamwork, whereby older teamworkers tend to earn relatively more when participating in teams without appearing to work more hours; and we show that employment sector is important, whereby teamwork is relevant for salaries and hours worked in education and industry but not in government. Although our study is based on market outcomes and behavioral measures, our findings provide grounds for future research that examines the psychological mechanisms that are relevant to understanding why people join teams as well as the psychological consequences that people encounter through teamwork. More generally, this study provides a model for considering individual-level antecedents and outcomes associated with teamwork when degrees of discretion exist with respect to teaming. (PsycINFO Database Record","Kevin M. Kniffin,Andrew S. Hanks",10.1037/amp0000288,American Psychologist,"Job Syndrome,Doctorate Degree,Complement System Proteins,teams",,,,
"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",dataset-370,"Given the call for more interdisciplinary research in public health, the objectives of this study were to (1) examine the correlates of interdisciplinary dissertation completion and (2) identify secondary fields most common among interdisciplinary public health graduates. METHODS: We analyzed pooled cross-sectional data from 11 2009 doctoral graduates in the Survey of Earned Doctorates, 2003-2015. The primary outcome was interdisciplinary dissertation completion. Covariates included primary public health field, sociodemographic characteristics, and institutional attributes. RESULTS: From 2003 to 2015, a total of 4005 of 2009 (36.0%) doctoral graduates in public health reported interdisciplinary dissertations, with significant increases observed in recent years. Compared with general public health graduates, graduates of environmental health (odds ratio [OR] = 1.74; P < .001) and health services administration (OR = 1.38; P < .001) doctoral programs were significantly more likely to report completing interdisciplinary dissertation work, whereas graduates from biostatistics (OR = 0.51; P < .001) and epidemiology (OR = 0.76; P < .001) were less likely to do so. Completing an interdisciplinary dissertation was associated with being male, a non-US citizen, a graduate of a private institution, and a graduate of an institution with high but not the highest level of research activity. Many secondary dissertation fields reported by interdisciplinary graduates included other public health fields. CONCLUSION: Although interdisciplinary dissertation research among doctoral graduates in public health has increased in recent years, such work is bounded in certain fields of public health and certain types of graduates and institutions. Academic administrators and other stakeholders may use these results to inform greater interdisciplinary activity during doctoral training and to evaluate current and future collaborations across departments or schools.","Elizabeth H. Golembiewski,Ann M. Holmes,Joanna R Jackson,Brittany L. Brown-Podgorski,Nir Menachemi",10.1177/0033354918754558,Public Health Reports,"Research Activities,pooled sample,school,epidemiology",,,,
Survey of checkpoints along the pathway to diverse biomedical research faculty,dataset-370,"There is a persistent shortage of underrepresented minority (URM) faculty who are involved in basic biomedical research at medical schools. We examined the entire training pathway of potential candidates to identify the points of greatest loss. Using a range of recent national data sources, including the National Science Foundation's Survey of Earned Doctorates and Survey of Doctoral Recipients, we analyzed the demographics of the population of interest, specifically those from URM backgrounds with an interest in biomedical sciences. We examined the URM population from high school graduates through undergraduate, graduate, and postdoctoral training as well as the URM population in basic science tenure track faculty positions at medical schools. We find that URM and non-URM trainees are equally likely to transition into doctoral programs, to receive their doctoral degree, and to secure a postdoctoral position. However, the analysis reveals that the diversions from developing a faculty career are found primarily at two clearly identifiable places, specifically during undergraduate education and in transition from postdoctoral fellowship to tenure track faculty in the basic sciences at medical schools. We suggest focusing additional interventions on these two stages along the educational pathway.","Lindsay C Meyers,Abigail M Brown,Liane Moneta-Koehler,Roger Chalkley",10.1371/journal.pone.0190606,PLOS ONE,"Demography,data sources,Biomedical Research,medical schools,Hearing Loss, High-Frequency,biological Science Disciplines,Doctorate Degree",,,,
